,PatentNumber,IPC
636,WO2018035509-A2,A61K-031/53
637,WO2018035509-A2,C07D-487/04
638,CN107699635-A,C12N-015/11
639,CN107699635-A,C12Q-001/68
640,JP2018024610-A,A23L-033/10
641,JP2018024610-A,A61K-031/353
642,WO2018029690-A1,G01N-033/569
643,WO2018029690-A1,G16B-040/20
644,KR1828794-B1,A61K-039/00
645,KR1828794-B1,A61K-039/42
646,JP2018020989-A,A61K-031/17
647,JP2018020989-A,A61P-029/00
648,CN107653231-A,A61K-039/215
649,CN107653231-A,A61P-011/00
650,WO2018023054-A1,A61K-031/21
651,WO2018023054-A1,A61K-031/216
652,WO2018022664-A1,A61K-038/17
653,WO2018022664-A1,A61P-025/00
654,WO2018022668-A2,A61K-038/16
655,WO2018022668-A2,A01N-033/02
656,CN107630109-A,C12N-015/11
657,CN107630109-A,C12Q-001/686
658,WO2018017443-A1,A61K-039/00
659,WO2018017443-A1,C12N-007/00
660,WO2018011751-A1,A61K-031/05
661,WO2018011751-A1,A61P-031/12
662,WO2018013830-A1,A01N-025/10
663,WO2018013830-A1,A01N-025/12
664,US2018015072-A1,A61K-031/405
665,US2018015072-A1,A61K-031/7056
666,KR2018006340-A,B01L-003/00
667,KR2018006340-A,G01N-033/543
668,CN107557497-A,C12N-015/11
669,CN107557497-A,C12Q-001/68
670,CN107557494-A,C12Q-001/686
671,CN107557494-A,C12Q-001/70
672,CN107557496-A,C12N-015/11
673,CN107557496-A,C12Q-001/68
674,KR2018002504-A,A23L-033/10
675,KR2018002504-A,A61K-031/195
676,CN107541501-A,A61K-039/23
677,CN107541501-A,A61P-031/20
678,CN107537033-A,A61K-039/175
679,CN107537033-A,A61K-039/23
680,WO2018005558-A1,A61K-039/12
681,WO2018005558-A1,A61K-039/295
682,WO2017221276-A1,A01N-031/02
683,WO2017221276-A1,A01N-037/02
684,WO2017222935-A1,A61K-031/427
685,WO2017222935-A1,A61K-031/5377
686,US2017360923-A1,A61K-039/00
687,US2017360923-A1,A61K-039/39
688,WO2017214596-A1,A61K-039/12
689,WO2017214596-A1,A61K-039/39
690,WO2017212422-A1,A61K-031/78
691,WO2017212422-A1,A61K-009/00
692,KR2017136731-A,A01N-025/02
693,KR2017136731-A,A01N-031/04
694,CN107460255-A,C12N-015/11
695,CN107460255-A,C12Q-001/68
696,CN107459511-A,A61K-031/454
697,CN107459511-A,A61P-031/14
698,CN107451390-A,G06F-019/00
699,CN107451390-A,G06Q-050/00
700,KR2017135678-A,B01J-008/02
701,KR2017135678-A,C07K-017/00
702,CN107419034-A,C12Q-001/68
703,CN107419034-A,C12Q-001/70
704,WO2017205460-A1,G01N-033/573
705,WO2017205460-A1,G01N-033/574
706,US2017340611-A1,A61K-031/277
707,US2017340611-A1,A61K-031/4152
708,WO2017197051-A1,C07D-401/14
709,WO2017197051-A1,C07K-014/47
710,WO2017197055-A1,A61K-031/454
711,WO2017197055-A1,A61K-047/48
712,WO2017197056-A1,A61K-047/48
713,WO2017197056-A1,C07D-471/04
714,WO2017197046-A1,C07D-401/14
715,WO2017197046-A1,C07K-014/47
716,WO2017197036-A1,A61K-031/527
717,WO2017197036-A1,C07D-209/54
718,WO2017197207-A1,A61K-048/00
719,WO2017197207-A1,C12Q-001/68
720,US2017325431-A1,A01K-067/033
721,US2017325431-A1,A21D-002/34
722,CN107337731-A,A61K-039/40
